原土地使用权人,现土地使用权人,宗地标识,宗地编号,宗地座落,所在行政区,土地面积(公顷),土地用途,土地使用权类型,土地使用年限,土地利用状况,土地级别,转让方式,转让价格(万元),成交时间
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D1,澄海区莲下镇利合新围,,3.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,763.3300,2017/2/4 11:15:23
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0005,其他商服用地,出让,28,已完成,四级,买卖,0.9806,2017/7/6 16:11:55
七台河矿业精煤（集团）七煤医院有限公司,七台河七煤医院有限公司,,201701,桃东街,,5.7516,医卫慈善用地,出让,50,,一级,买卖,0.0000,2017/1/20 9:32:19
王玉平,临汾市尧都区永益尧隆商贸有限公司,,2017年2号,尧庙段西,,0.1070,商服用地,出让,40,,二级,买卖,149.1600,2017/3/29 9:05:20
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,021201001,四会市城中街道下㘵村委崩一岗顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 11:27:47
新疆通信服务公司,中国铁塔股份有限公司喀什分公司,,6531302017Z033,巴楚县阿拉跟乡11村,,0.0221,其他商服用地,国有出让,37,,四级,其他,3.3300,2017/3/27 12:14:01
杨震,河北驰象农业科技有限公司,,2017-04,霸州市辛章办事处,,0.4391,工业用地,国有,22,,三级,买卖,168.6200,2017/1/18 11:02:14
鄂城市金帆鞋业有限公司,湖北上大模具材料科技股份有限公司,,(2016)015,鄂州市花湖镇,,0.3248,工业用地,出让国有土地使用权,50,工业用地,十级,买卖,87.3700,2017/11/15 9:39:46
五华县万利达实业有限公司,五华县万利达实业有限公司,,441424101209GB08175,水寨镇华兴中路74号华维花园A1栋第一至三层,,0.0107,中低价位、中小套型普通商品住房用地,出让,43,已开发,十二级,买卖,111.4297,2017/7/17 16:21:28
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240700446,岐岭镇皇华村燕尾寨顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 10:55:23
廖子力,中山市融达通实业发展有限公司,,D30VVA20160459,湖洲村,,0.0707,商服用地,出让,25,已开发,五级,买卖,254.0000,2017/1/11 11:12:00
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】180号,庙后镇上林家村,,0.0225,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/8/7 9:46:06
栖霞天利果蔬保鲜有限公司,山东东方融资担保有限公司,,栖国土资转字【2017】190号,桃村镇荆子埠村北,,0.2518,仓储用地,出让,21,现状,三级,其他,90.0000,2017/8/22 9:24:16
乌审旗蒙清食品有限公司,乌审旗中亨石油化工有限公司,,2016.401-1-0063,乌审旗嘎鲁图镇南部物流园区锡林南街西侧（一区）,,0.1989,商服用地,出让,40,已开发,一级,其他,0.0000,2017/1/22 11:24:49
中山市莲峰房地产公司,中国建设银行股份有限公司中山市分行,,D24XXA20152137,富华道云汉路段6号,,0.0455,商服用地,出让,19,已开发,二级,买卖,702.9997,2017/2/27 9:48:01
广西美吉龙投资有限公司,中国石化销售有限公司广西百色石油分公司,,451023101218GB03619W00000000,平果铝三号路旁,,0.2396,批发零售用地,出让,39,已开发,四级,买卖,282.5200,2017/11/22 10:40:00
冷水江市盛达物资有限责任公司,湖南冷水江农村商业银行股份有限公司,,05-05-05,碱长内,,0.0195,其他商服用地,出让,39,已完成,四级,买卖,11.5718,2017/3/30 16:08:23
新疆通信服务公司,中国铁塔股份有限公司喀什分公司,,6531302017Z032,巴楚县阿娜库勒乡5村,,0.0270,其他商服用地,国有出让,31,,四级,其他,2.3490,2017/3/27 12:12:00
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-3,蔡甸区侏儒街横龙村,,0.0099,公共设施用地,出让,35,出让,未评估地区,买卖,3.4200,2017/6/22 10:15:08
云南盐化股份有限公司,云南省盐业有限公司昆明盐矿,,530181005002GB00014,安宁市太平街道办事处始甸村委会新邑村民小组,,0.0340,工业用地,出让,40,地上已有建筑物,未评估地区,其他,0.0000,2017/12/27 10:38:21
栖霞市万兴商贸有限公司,烟台玮润置业有限公司,,栖国土资转字【2017】57号,迎宾路西侧（原蔬菜公司）,,0.0400,批发零售用地,出让,36,现状,二级,买卖,15.0000,2017/4/7 9:20:04
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】185号,臧家庄镇寨里路旺村,,0.0255,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/8/7 9:58:01
兴业银行股份有限公司长沙分行,西藏金融租赁有限公司,,YWSP20170623001,芙蓉区,,0.1457,其他商服用地,国有出让,40,地面有建筑物,一级,买卖,3056.7200,2017/7/27 11:02:45
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241200236,周江镇三河村门斗地岭顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 17:03:44
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240900347,潭下镇大玉村李屋背顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:02:45
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240400298,转水镇流洞村学堂顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:17:34
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0002,其他商服用地,出让,28,已完成,四级,买卖,0.3856,2017/7/6 16:22:04
中国石化股份公司昆明石油分公司,中国石化销售有限公司云南昆明安宁东湖加油站,,530181001008GB00009,安宁市连然街道办事处百花东路延长线,,0.1407,批发零售用地,出让,26,地上已有建筑物,一级,其他,0.0000,2017/9/28 16:06:22
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】290号,迎宾路西（15号房）,,0.0241,批发零售用地,出让,26,现状,三级,其他,37.8430,2017/12/13 14:18:53
胡俊起,临西县万正轴承销售有限公司,,2017029,临西县轴承大世界东二区9号,,0.0614,其他商服用地,出让,36,现状,一级,其他,87.1000,2017/9/20 14:37:35
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,14242000311,棉洋镇美田村长安,,0.0100,工业用地,出让,36,已开发,十二级,买卖,1.2000,2017/5/25 15:45:18
中山市石岐区南下股份合作经济联合社,中山富立房地产开发有限公司,,D23VVB20160082,博爱三路28号,,0.3839,商服用地,出让,60,已开发,一级,买卖,3800.0000,2017/2/22 10:45:42
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241000135,长布镇青岗村,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/25 10:43:53
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240105811,水寨镇榕树村竹子窝,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 9:49:12
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0005,其他商服用地,出让,28,已完成,四级,买卖,0.9534,2017/7/6 16:05:31
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241700398,龙村镇黄狮村牛湖顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:39:55
江门市江河实业发展有限公司,江门市江能经济发展有限公司,,江地鉴字[2017]第19号,蓬江区篁庄龙溪地段,,0.0109,住宅用地,出让,47,已建,二级,买卖,8.0000,2017/3/14 16:20:58
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0005,其他普通商品住房用地,出让,28,已完成,四级,买卖,0.9806,2017/7/6 16:09:42
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0005,其他商服用地,出让,28,已完成,四级,买卖,0.9806,2017/7/6 16:08:46
李回兴,湖南冷水江农村商业银行股份有限公司,,17-1-12-106,布溪居委会,,0.0007,其他普通商品住房用地,出让,21,已完成,三级,买卖,1.2163,2017/7/14 8:38:19
学海文化传播股份有限公司,湖南学海置业有限公司,,YWSP20161219004,天心区,,0.1693,其他普通商品住房用地,国有,65,未建成,五级,买卖,359.8000,2017/2/16 10:19:55
广东�喔焕龇�饰有限公司,汕头市粤嘉达投资有限公司,d6a2e1e3-70a0-475d-82fa-c0e0de3aba12,GP-2011-308,汕头市濠江区府前路北侧工业用地地块,,1.5750,工业用地,国有,43,在建,六级,买卖,1734.8930,2017/10/20 10:14:15
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,14242000313,棉洋镇黎洞村元寨,,0.0100,工业用地,出让,36,已开发,十二级,买卖,1.2000,2017/5/25 10:04:05
王希芬（刘汝藩）等二户,腾冲越州文化发展有限公司,,C-(04)-62,腾越镇天成社区文风小区,,0.0021,其他普通商品住房用地,出让,70,已开发,一级,买卖,6.7121,2017/5/24 10:25:33
长沙楚顺置业有限公司,湖南和兴能源石油有限公司,,YWSP20170320007,天心区,,0.4096,住宅用地,国有,70,未开发,一级,买卖,1900.0000,2017/4/1 14:52:50
中国联合通信有限公司宜春分公司,中国铁塔股份有限公司,,360810170001,铜鼓县棋坪镇优居村,,0.0060,公共设施用地,出让,50,建设用地（现状）,十五等级,买卖,1.9659,2017/1/4 16:41:03
烟台全盈合商贸有限公司,栖霞市月盛经贸有限公司,,栖国土资转字【2017】58号,栖霞市官道镇柞岚头村,,1.2683,仓储用地,出让,35,现状,三级,其他,107.0000,2017/4/7 8:40:23
文昆辉,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘社区居委会金鼎花园,,0.0010,其他商服用地,出让,29,已完成,四级,买卖,1.6156,2017/6/1 8:26:32
姜向辉,中化石油山西有限公司,,2017年5号,临汾市东城区华康路北侧,,0.2100,商服用地,出让,40,,二级,买卖,337.8400,2017/7/18 9:42:00
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-12,蔡甸区蔡甸街华林村,,0.0100,公共设施用地,出让,35,出让,未评估地区,买卖,3.5400,2017/6/22 10:51:25
烟台泉之源食品有限公司,颐中烟草（集团）有限公司烟台分公司,,栖国土资转字【2017】129号,栖霞经济开发区C区（松山）,,0.1678,工业用地,出让,35,现状,四级,买卖,457.1429,2017/7/5 8:45:23
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242000390,棉洋镇荣华村职中背顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:30:45
灵宝市远村天然食品有限责任公司,灵宝远村房地产开发有限公司,3fc4f778-6059-4c39-90a5-3fea9501fdc5,00-02-241-1,灵宝市五龙区振兴路与金城四路交叉口西北角,,3.3110,中低价位、中小套型普通商品住房用地,出让,70,,三级,买卖,3910.0000,2017/3/6 17:49:30
武汉弘奥康泰置业有限公司,鄂州市王子商贸有限公司,,(2017)005,燕矶镇茨塘村,,0.4201,商服用地,出让国有土地使用权,40,商业用地,九级,买卖,312.8900,2017/5/3 16:54:44
张景武,内蒙古鄂托克农村商业银行股份有限公司,,2008401-4-1715,乌审旗嘎鲁图镇 人民路北 国土小区2号楼3号车库（四区）,,0.0004,住宅用地,出让,70,已开发,一级,买卖,4.0000,2017/8/31 16:38:20
泰安市泰山国金工贸有限公司,泰安岱岳农村商业银行股份有限公司,,2017-D-117,岱岳区天平办事处西北村,,0.6934,工业用地,出让,50,已建成,四级,其他,208.0254,2017/6/21 10:35:17
范宝升,佛山市三水华立信五金有限公司,,440607004008GB03028,佛山市三水中心科技工业区芦苞园C区22-1号,,1.6835,工业用地,出让,50,已开发、已建筑物,七级,作价出资入股,757.5800,2017/1/19 11:47:43
温松利、黄振宏,江门市蓬江区柏斯特水性涂料有限公司,,江地鉴字[2017]第33号,杜阮龙眠管理区刘道院（土名）地段,,0.2080,工业用地,出让,31,已建,二级,买卖,93.6000,2017/4/12 11:21:39
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170023,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9965,2017/1/17 9:54:57
中山市张家边经济发展总公司,中山源兴光通讯科技有限公司,,D15ZZD20163956,岐民南路11号,,1.5264,工业用地,出让,35,已开发,二级,买卖,1820.0000,2017/4/28 11:30:40
周国雄朱群花,梅州天龙盛实业有限公司,,14240100297-3,水寨镇华兴北路,,0.0078,批发零售用地,出让,39,已开发,十二级,买卖,92.8309,2017/11/7 15:25:33
高阳,内蒙古鄂托克农村商业银行股份有限公司,,2011.401-5-0678,乌审旗嘎鲁图镇苏里格街东 和兴园小区6号楼1单元202室（五区）,,0.0021,住宅用地,出让,70,已开发,二级,买卖,54.8800,2017/9/4 11:00:51
五华县万利达实业有限公司,五华县万利达实业有限公司,,14240102947,水寨镇水寨大道镇政府侧华源花园A栋,,0.0072,中低价位、中小套型普通商品住房用地,出让,31,已开发,十二级,买卖,26.8237,2017/10/19 11:33:43
湖南安多福生物制药有限公司,长沙市振望建设开发有限公司,1495df84-0311-4b84-819a-9dd168e5b205,网工挂[2015]16号,经开区普瑞大道与郭亮南路交叉口东北角,,3.0647,工业用地,国有出让,49,在建,十二级,买卖,1011.3500,2017/6/6 11:27:46
鄂州市嘉禾医疗科技有限公司,鄂州二医院有限公司,,(2017)008,滨湖西路东侧,,4.2887,医卫慈善用地,出让国有土地使用权,50,医卫慈善,九级,买卖,5652.5100,2017/5/5 17:12:35
陈涌 陈玩 陈雄洲,佛山豪旺科技有限公司,,440607004008GB03095,佛山市三水区芦苞镇三水大道北555号,,2.3995,工业用地,出让,50,已开发,七级,作价出资入股,900.0000,2017/11/20 12:38:32
鄂州市安信休闲用品有限公司,鄂州经济开发区城市建设投资有限公司,,(2017)013,凡李路,,0.6600,工业用地,出让国有土地使用权,50,工业用地,一级,买卖,17.3100,2017/10/20 9:25:56
龙锦洪\龙玉婵,中山市兴瑞房地产开发有限公司,,D25XHA20172000,横门海富中路,,1.2541,商服用地,出让,29,已开发,四级,作价出资入股,1299.0245,2017/2/17 10:56:30
罗定市嘉达房地产有限公司,罗定市嘉达房地产有限公司,,445381021007GB00351,罗定市罗城街道工业大道三路28号,,0.0872,住宅用地,出让,70,良好,九级,继承,44.6464,2017/6/6 11:14:13
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】286号,迎宾路西（9号房）,,0.0169,批发零售用地,出让,26,现状,三级,其他,26.6082,2017/12/13 14:21:10
江门海特橡塑有限公司,江门市金裕金科技有限公司,,江地鉴字[2017]第32号,江门市棠下镇桐乐路92号地段,,2.8273,工业用地,出让,40,已建,三级,买卖,1526.7150,2017/8/30 11:02:48
高占祥,中国工商银行股份有限公司乌审支行,,2010.401-5-0393,乌审旗嘎鲁图镇人民路南 地税局南侧（五区）,,0.0511,商服用地,出让,40,已开发,二级,其他,0.0000,2017/12/22 16:11:26
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,利合新围D14,汕头市澄海区莲下湾头利合新围,,2.0001,其他土地,国有出让,48,场地平整,八级,作价出资入股,478.0100,2017/2/4 11:20:52
栖霞市广播电视局,山东广电网络有限公司栖霞分公司,,栖国土资转字【2017】52号,苏家店镇政府驻地,,0.0281,商服用地,出让,1,现状,三级,其他,0.0000,2017/3/22 14:49:36
李志兵,湖南冷水江农村商业银行股份有限公司,,12-06-123-1,同兴乡新桥居委会,,0.0009,其他商服用地,出让,21,已完成,三级,买卖,1.8517,2017/11/20 8:17:09
中国电信股份有限公司铜鼓分公司,中国铁塔股份有限公司宜春市分公司,,360810170002,铜鼓县三都镇西向村六甲组,,0.0041,公共设施用地,出让,50,建设用地（现状）,十五等级,买卖,1.1520,2017/1/4 16:40:27
武汉汇顶工贸有限公司,武汉市邓甲工贸有限公司,,2016-9,蔡甸区�L山街龙王村、沌口街石岭村,,5.8984,工业用地,出让,42,出让,五级,买卖,3573.0100,2017/1/3 9:35:34
谢钦文,湖南博长物业管理有限公司,,13-11-34-113,轧钢路,,0.0005,其他商服用地,出让,25,已完成,二级,买卖,2.5264,2017/3/9 16:02:04
龙锦洪\龙玉婵,中山市立信房地产开发有限公司,,D29JJA20161536,桂南,,3.4167,商服用地,出让,56,已开发,四级,作价出资入股,3597.5088,2017/3/6 9:43:24
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0031,其他普通商品住房用地,出让,28,已完成,三级,买卖,2.0787,2017/7/6 16:03:31
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,110307001,四会市大沙镇陈冲村委陆铁村国道旁,,0.0799,公共设施用地,出让,35,已开发,十级,买卖,4.0000,2017/1/22 17:18:06
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241700381,龙村镇营田村马头山,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 9:59:55
罗定市嘉达房地产有限公司,罗定市嘉达房地产有限公司,,445381021007GB00349,罗定市罗城街道工业大道三路28号,,0.1742,住宅用地,出让,70,良好,九级,继承,89.1904,2017/6/6 11:12:57
戴隆盛,湖南冷水江农村商业银行股份有限公司,,13-26-110,建新居委会,,0.0059,其他商服用地,出让,40,已完成,一级,买卖,32.7828,2017/9/27 8:23:52
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C14,澄海区莲下镇培隆福建围外,,4.6667,其他土地,国有出让,41,场地平整,八级,作价出资入股,1068.6700,2017/2/4 11:18:36
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】288号,迎宾路西（2号房）,,0.0241,批发零售用地,出让,26,现状,三级,其他,37.8430,2017/12/13 14:12:29
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D4,澄海区莲下镇利合新围,,3.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,763.3300,2017/2/4 11:03:01
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,利合新围D6,澄海区莲下镇利合新围,,0.6667,其他土地,国有出让,41,场地平整,八级,作价出资入股,152.6700,2017/2/4 10:30:51
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】216号,栖霞市西城镇马疃村,,0.0171,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/9/7 11:08:53
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D8,澄海区莲下镇利合新围,,0.6667,其他土地,国有出让,41,场地平整,八级,作价出资入股,152.6700,2017/2/4 10:30:40
湖北承为物资有限公司,湖北迪洁膜科技有限公司,,(2017)002,鄂州经济开发区百兴路,,1.9083,工业用地,出让国有土地使用权,50,工业用地,九级,买卖,471.3400,2017/1/22 10:00:50
邯郸市汇力粮油购销有限公司,河北百益粮食仓储服务有限公司,,2017003,曹魏大道与杜康路交叉口西南角,,3.3040,工矿仓储用地,出让,47,已建,三级,买卖,763.2200,2017/1/17 10:12:30
黄卫星,鄂尔多斯农村商业银行股份有限公司,,2009.401-3-1569,乌审旗嘎鲁图镇巴音路南乌审街东（三区）,,0.2431,住宅用地,出让,70,已开发,一级,买卖,175.0000,2017/2/28 16:57:41
湖南高速百通中油投资有限责任公司,湖南创驰石化有限公司,3e662b38-4960-492d-9722-c02a2f2392e7,网挂【2016】17号,丁字湾街道金云村,,0.3651,批发零售用地,国有出让,39,在建,十二级,买卖,1280.0000,2017/11/29 16:03:03
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242000391,棉洋镇葵岭村哨楼顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:25:52
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-11,蔡甸区大集街张家渡村,,0.0100,公共设施用地,出让,34,出让,未评估地区,买卖,3.5200,2017/6/22 10:49:04
国网湖北省电力公司鄂州供电公司,鄂州电力集团有限公司,,(2017)009,发展大道南侧茨豪大道西北侧,,1.4559,工业用地,出让国有土地使用权,50,工业用地,九级,买卖,503.6100,2017/9/26 17:17:37
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-6,蔡甸区洪北乡,,0.0100,公共设施用地,出让,35,出让,未评估地区,买卖,3.4700,2017/6/22 10:25:45
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170001,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,140.0070,2017/1/17 8:57:08
广州市广易实业有限公司佛山市三水分公司,佛山市易盛强汽车零配件有限公司,,440607003020GB03059,佛山市三水区乐平镇乐信大道1号,,3.3334,工业用地,出让,50,已开发、已有建筑物,七级,作价出资入股,1350.0100,2017/12/26 14:25:31
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240503753,华城镇万子村万里哨楼顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:46:26
汕头市华达欣纺织有限公司,汕头市澄海区柏辉染印有限公司,,仙门村250,澄海区溪南镇水南路南侧,,0.1587,工业用地,国有出让,29,场地平整,八级,买卖,112.0100,2017/7/24 9:51:42
中山市石岐区厚兴股份合作经济联合社,中山市惠正实业有限公司,,D23ZBT20160106,莲兴路21号之一,,0.1683,商服用地,出让,33,已开发,一级,买卖,1066.2570,2017/1/11 10:39:09
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0011,其他商服用地,出让,21,已完成,三级,买卖,2.1869,2017/11/20 8:19:13
上海诺雅克电气有限公司,正泰启迪（上海）科技发展有限公司,,201717439836453272,松江区经济技术开发区,,9.6876,工业用地,出让,38,净地,七级,买卖,13562.6960,2017/11/27 14:42:02
佛山市三水奥鹏胶粘制品有限公司（属于法院执行裁定）,佛山恒程新电力科技有限公司,,440607004007GB03005,佛山市三水区芦苞镇创源路5号,,2.7786,工业用地,出让,50,已开发、已建筑物,七级,继承,2805.1601,2017/9/4 9:46:29
新疆通信服务公司,中国铁塔股份有限公司喀什分公司,,6531302017Z036,巴楚县恰尔巴格乡6村3组,,0.0219,其他商服用地,国有出让,30,,四级,其他,1.9305,2017/3/27 12:19:45
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】214号,栖霞市观里镇山后泊村,,0.0225,公共管理与公共服务用地,出让,35,现状,四级,其他,0.0000,2017/9/7 10:56:51
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D11,澄海区莲下镇利合新围,,2.0001,其他土地,国有出让,41,场地平整,八级,作价出资入股,458.0100,2017/2/4 10:41:13
周伟文、周桥英,四会市粤辉置业发展有限公司,,441284109006GB00020,四会市大沙镇南江工业园平安路12号,,2.7846,工业用地,出让,33,已开发,十级,买卖,1113.8600,2017/8/11 10:36:38
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D15,澄海区莲下镇利合新围,,2.0000,其他土地,国有出让,41,场地平整,八级,作价出资入股,458.0000,2017/2/4 11:01:20
栖霞市桃村镇桃村,中国移动通信集团山东有限公司烟台分公司,,栖国土资转字【2017】237号,桃村镇桃村中心医院西,,0.0206,批发零售用地,出让,38,现状,二级,买卖,172.3810,2017/9/28 8:23:10
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170005,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9860,2017/1/17 9:13:07
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C9,澄海区莲下镇培隆福建围外,,6.6667,其他土地,国有出让,41,场地平整,八级,作价出资入股,1526.6700,2017/2/6 10:18:04
云南日报报业集团房地产开发有限公司,昆明蓝光云报置业有限公司公司,,530181005GB00017,安宁市太平新城街道办事处始甸社区居委会妥乐居民小组,,5.8501,其他普通商品住房用地,出让,65,地上已有建筑物,三级,买卖,8792.7484,2017/10/27 14:06:02
广东明裕塑胶实业有限公司,汕头市澄海区骏源玩具实业有限公司,,兴达工业区20,汕头市澄海区凤翔街道兴达工业区,,0.1316,工业用地,国有出让,34,场地平整,八级,作价出资入股,129.2200,2017/10/17 10:15:54
谢锡进,江门市弘球科技有限公司,,江地鉴字[2017]第43号,江门市棠下镇周郡村海滩围（土名）,,0.3484,工业用地,出让,35,已建,二级,买卖,182.9100,2017/12/11 16:33:22
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240503754,华城镇红星村上桌老屋顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:08:41
山东前田热能技术股份有限公司,山东桃李面包有限公司,,2017-D-154,岱岳区满庄镇、104国道以西,,6.6385,工业用地,出让,50,已建成,四级,买卖,1991.5500,2017/7/28 11:04:02
四会市贞山广场发展有限公司,四会市潮创房地产开发有限公司,,441284001001GB00034,四会市贞山街道独岗村委会下沙一村“中桩”地段,,0.7324,住宅用地,出让,66,已开发,十级,买卖,2000.0000,2017/1/16 17:37:43
